Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Standard,iPhone 16e,4499.0,,512.0,Unknown,Unknown,,1675.0,2025,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16e (eSIM),2999.0,,128.0,Unknown,Unknown,,1065.0,2025,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16e (eSIM),3499.0,,256.0,Unknown,Unknown,,1225.0,2025,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16e (eSIM),4499.0,,512.0,Unknown,Unknown,,1590.0,2025,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16 (eSIM),3499.0,,128.0,Unknown,Unknown,,1570.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16 (eSIM),3999.0,,256.0,Unknown,Unknown,,1785.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 16 (eSIM),4999.0,,512.0,Unknown,Unknown,,2065.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus,3999.0,,128.0,Unknown,Unknown,,2120.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus,4499.0,,256.0,Unknown,Unknown,,2335.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus,5499.0,,512.0,Unknown,Unknown,,2690.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus (eSIM),3999.0,,128.0,Unknown,Unknown,,1800.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus (eSIM),4499.0,,256.0,Unknown,Unknown,,1985.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 16 Plus (eSIM),5499.0,,512.0,Unknown,Unknown,,2285.0,2024,A18,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro,4999.0,,128.0,Unknown,Unknown,,2300.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro,7499.0,,1024.0,Unknown,Unknown,,3400.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro,5499.0,,256.0,Unknown,Unknown,,2525.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro,6499.0,,512.0,Unknown,Unknown,,2925.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro (eSIM),4999.0,,128.0,Unknown,Unknown,,2110.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro (eSIM),7499.0,,1024.0,Unknown,Unknown,,2945.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro (eSIM),5499.0,,256.0,Unknown,Unknown,,2295.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 16 Pro (eSIM),6499.0,,512.0,Unknown,Unknown,,2600.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max,7999.0,,1024.0,Unknown,Unknown,,3675.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max,5999.0,,256.0,Unknown,Unknown,,3075.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max,6999.0,,512.0,Unknown,Unknown,,3300.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max (eSIM),7999.0,,1024.0,Unknown,Unknown,,3245.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max (eSIM),5999.0,,256.0,Unknown,Unknown,,2665.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 16 Pro Max (eSIM),6999.0,,512.0,Unknown,Unknown,,2940.0,2024,A18 Pro,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 17,3999.0,,256.0,Unknown,Unknown,,2135.0,2025,A19,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 17,4999.0,,512.0,Unknown,Unknown,,2670.0,2025,A19,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 17 Pro,7499.0,,1024.0,Unknown,Unknown,,4100.0,2025,A19 Pro,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 17 Pro,5499.0,,256.0,Unknown,Unknown,,3035.0,2025,A19 Pro,,,,,,,Unknown
