Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 13-inch (Mid 2018),,256 GB,SSD,,,700,2018,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 13-inch (Mid 2018),,512 GB,SSD,,,720,2018,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 13-inch (Mid 2018),,1 TB,SSD,,,770,2018,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 13-inch (Mid 2018),,2 TB,SSD,,,820,2018,Intel Core i7,13.0,,,"8, 16",8.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 15-inch (Late 2016),,256 GB,SSD,,,700,2016,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 15-inch (Late 2016),,512 GB,SSD,,,720,2016,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 15-inch (Late 2016),,1 TB,SSD,,,770,2016,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.7GHz 15-inch (Late 2016),,2 TB,SSD,,,820,2016,Intel Core i7,15.0,,,16,16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 13-inch (Mid 2019),,256 GB,SSD,,,730,2019,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 13-inch (Mid 2019),,512 GB,SSD,,,760,2019,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 13-inch (Mid 2019),,1 TB,SSD,,,770,2019,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 13-inch (Mid 2019),,2 TB,SSD,,,830,2019,Intel Core i7,13.0,,,"8, 16",8.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2015),,256 GB,SSD,,,240,2015,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2015),,512 GB,SSD,,,250,2015,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2015),,1 TB,SSD,,,290,2015,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2017),,256 GB,SSD,,,790,2017,Intel Core i7,15.0,,,"16, 32",16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2017),,512 GB,SSD,,,820,2017,Intel Core i7,15.0,,,"16, 32",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2017),,1 TB,SSD,,,840,2017,Intel Core i7,15.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.8GHz 15-inch (Mid 2017),,2 TB,SSD,,,890,2017,Intel Core i7,15.0,,,"16, 32",16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Late 2016),,256 GB,SSD,,,700,2016,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Late 2016),,512 GB,SSD,,,720,2016,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Late 2016),,1 TB,SSD,,,770,2016,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Late 2016),,2 TB,SSD,,,820,2016,Intel Core i7,15.0,,,16,16.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Mid 2017),,256 GB,SSD,,,800,2017,Intel Core i7,15.0,,,"16, 32",16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Mid 2017),,512 GB,SSD,,,820,2017,Intel Core i7,15.0,,,"16, 32",16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Mid 2017),,1 TB,SSD,,,840,2017,Intel Core i7,15.0,,,"16, 32",16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.9GHz 15-inch (Mid 2017),,2 TB,SSD,,,900,2017,Intel Core i7,15.0,,,"16, 32",16.0,2 TB,
