Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
iTworld,iPhone,iPhone,iPhone 14 Pro Max,,1 TB,,,,1990
iTworld,iPhone,iPhone,iPhone 15,,128 GB,,,,1300
iTworld,iPhone,iPhone,iPhone 15,,256 GB,,,,1450
iTworld,iPhone,iPhone,iPhone 15,,512 GB,,,,1600
iTworld,iPhone,iPhone,iPhone 15 Plus,,128 GB,,,,1450
iTworld,iPhone,iPhone,iPhone 15 Plus,,256 GB,,,,1600
iTworld,iPhone,iPhone,iPhone 15 Plus,,512 GB,,,,1800
iTworld,iPhone,iPhone,iPhone 15 Pro,,128 GB,,,,1740
iTworld,iPhone,iPhone,iPhone 15 Pro,,256 GB,,,,2010
iTworld,iPhone,iPhone,iPhone 15 Pro,,512 GB,,,,2140
iTworld,iPhone,iPhone,iPhone 15 Pro,,1 TB,,,,2360
iTworld,iPhone,iPhone,iPhone 15 Pro Max,,256 GB,,,,2210
iTworld,iPhone,iPhone,iPhone 15 Pro Max,,512 GB,,,,2440
iTworld,iPhone,iPhone,iPhone 15 Pro Max,,1 TB,,,,2660
iTworld,iPhone,iPhone,iPhone 16,,128 GB,,,,1800
iTworld,iPhone,iPhone,iPhone 16,,256 GB,,,,1980
iTworld,iPhone,iPhone,iPhone 16,,512 GB,,,,2180
iTworld,iPhone,iPhone,iPhone 16 Plus,,128 GB,,,,2090
iTworld,iPhone,iPhone,iPhone 16 Plus,,256 GB,,,,2250
iTworld,iPhone,iPhone,iPhone 16 Plus,,512 GB,,,,2500
iTworld,iPhone,iPhone,iPhone 16 Pro,,128 GB,,,,2310
iTworld,iPhone,iPhone,iPhone 16 Pro,,256 GB,,,,2540
iTworld,iPhone,iPhone,iPhone 16 Pro,,512 GB,,,,2700
iTworld,iPhone,iPhone,iPhone 16 Pro,,1 TB,,,,2900
iTworld,iPhone,iPhone,iPhone 16 Pro Max,,256 GB,,,,3010
iTworld,iPhone,iPhone,iPhone 16 Pro Max,,512 GB,,,,3200
iTworld,iPhone,iPhone,iPhone 16 Pro Max,,1 TB,,,,3500
iTworld,iPhone,iPhone,iPhone 16e,,128 GB,,,,1050
iTworld,iPhone,iPhone,iPhone 16e,,256 GB,,,,1200
iTworld,iPhone,iPhone,iPhone 16e,,512 GB,,,,1500
