Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","1TB, Cellular",1875,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","2TB, Cellular",2075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/128GB, Cellular",1525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/256GB, Cellular",1650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 12.9-inch (2022, 6th Gen)","8GB/512GB, Cellular",1800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","1TB, Wi-Fi",3175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","2TB, Wi-Fi",3725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","8GB/256GB, Wi-Fi",2175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","8GB/512GB, Wi-Fi",2600,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","1TB, Cellular",3550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","2TB, Cellular",4100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","8GB/256GB, Cellular",2575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 13-inch (2024, 7th Gen)","8GB/512GB, Cellular",2950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"256GB, Wi-Fi",3275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"512GB, Wi-Fi",3800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"1TB, Wi-Fi",4825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"2TB, Wi-Fi",5825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"256GB, Cellular",3800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"512GB, Cellular",4300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"1TB, Cellular",5325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,iPad Pro 13-inch M5 (2025),"2TB, Cellular",6325,https://compasia.my/pages/trade-in
